ds,Course,Year_Level,y
2023-01-01,BSBA-FINANCIAL_MANAGEMENT,2nd_year,45
2023-01-01,BSBA-FINANCIAL_MANAGEMENT,3rd_year,32
2023-01-01,BSBA-FINANCIAL_MANAGEMENT,4th_year,15
2023-01-01,BSBA-MARKETING_MANAGEMENT,1st_year,0
2023-01-01,BSBA-MARKETING_MANAGEMENT,2nd_year,45
2023-01-01,BSBA-MARKETING_MANAGEMENT,3rd_year,31
2023-01-01,BSBA-MARKETING_MANAGEMENT,4th_year,17
2023-01-01,BSCS,1st_year,0
2023-01-01,BSCS,2nd_year,24
2023-01-01,BSCS,3rd_year,14
2023-01-01,BSCS,4th_year,18
2023-01-01,BSIT,1st_year,0
2023-01-01,BSIT,2nd_year,78
2023-01-01,BSIT,3rd_year,70
2023-01-01,BSIT,4th_year,47
2023-02-01,BSBA-FINANCIAL_MANAGEMENT,1st_year,5
2023-02-01,BSBA-FINANCIAL_MANAGEMENT,2nd_year,38
2023-02-01,BSBA-FINANCIAL_MANAGEMENT,3rd_year,31
2023-02-01,BSBA-FINANCIAL_MANAGEMENT,4th_year,22
2023-02-01,BSBA-MARKETING_MANAGEMENT,1st_year,8
2023-02-01,BSBA-MARKETING_MANAGEMENT,2nd_year,36
2023-02-01,BSBA-MARKETING_MANAGEMENT,3rd_year,30
2023-02-01,BSBA-MARKETING_MANAGEMENT,4th_year,23
2023-02-01,BSCS,1st_year,2
2023-02-01,BSCS,2nd_year,17
2023-02-01,BSCS,3rd_year,8
2023-02-01,BSCS,4th_year,34
2023-02-01,BSIT,1st_year,6
2023-02-01,BSIT,2nd_year,49
2023-02-01,BSIT,3rd_year,56
2023-02-01,BSIT,4th_year,71
2024-01-01,BSBA-FINANCIAL_MANAGEMENT,1st_year,25
2024-01-01,BSBA-FINANCIAL_MANAGEMENT,2nd_year,8
2024-01-01,BSBA-FINANCIAL_MANAGEMENT,3rd_year,34
2024-01-01,BSBA-FINANCIAL_MANAGEMENT,4th_year,33
2024-01-01,BSBA-MARKETING_MANAGEMENT,1st_year,36
2024-01-01,BSBA-MARKETING_MANAGEMENT,2nd_year,4
2024-01-01,BSBA-MARKETING_MANAGEMENT,3rd_year,37
2024-01-01,BSBA-MARKETING_MANAGEMENT,4th_year,26
2024-01-01,BSCS,1st_year,16
2024-01-01,BSCS,2nd_year,4
2024-01-01,BSCS,3rd_year,24
2024-01-01,BSCS,4th_year,34
2024-01-01,BSIT,1st_year,70
2024-01-01,BSIT,2nd_year,7
2024-01-01,BSIT,3rd_year,54
2024-01-01,BSIT,4th_year,72
2024-02-01,BSBA-FINANCIAL_MANAGEMENT,1st_year,11
2024-02-01,BSBA-FINANCIAL_MANAGEMENT,2nd_year,8
2024-02-01,BSBA-FINANCIAL_MANAGEMENT,3rd_year,30
2024-02-01,BSBA-FINANCIAL_MANAGEMENT,4th_year,34
2024-02-01,BSBA-MARKETING_MANAGEMENT,1st_year,35
2024-02-01,BSBA-MARKETING_MANAGEMENT,2nd_year,2
2024-02-01,BSBA-MARKETING_MANAGEMENT,3rd_year,36
2024-02-01,BSBA-MARKETING_MANAGEMENT,4th_year,28
2024-02-01,BSCS,1st_year,12
2024-02-01,BSCS,2nd_year,2
2024-02-01,BSCS,3rd_year,20
2024-02-01,BSCS,4th_year,33
2024-02-01,BSIT,1st_year,57
2024-02-01,BSIT,2nd_year,6
2024-02-01,BSIT,3rd_year,48
2024-02-01,BSIT,4th_year,70
