School_Year,Semester,Course,total_enrollees,Year_Level,Enrollees_Count,Start_Year,Department,Semester_Order,Lag_1_Enrollees,Rolling_Mean_3,Rolling_Std_3,Growth_Rate,Year_Semester_Interaction,Time_Index,Enrollment_Trend,Dept_Enrollment_Ratio,Semester_Sin,Semester_Cos,ARIMA_Residual,Actual_Enrollment
2019-2020,1st,BSBA-MARKETING_MANAGEMENT,276,3rd_year,63,2019,BA,1,64.0,59.0,7.810249675906654,-0.015625,2019,3,-3.008791208791208,0.11710037174719012,1.2246467991473532e-16,-1.0,0.0,
2019-2020,1st,BSBA-MARKETING_MANAGEMENT,276,4th_year,68,2019,BA,1,56.0,51.666666666666664,18.876793513023692,0.2142857142857142,2019,3,-3.353846153846154,0.12639405204458617,1.2246467991473532e-16,-1.0,0.0,
2019-2020,1st,BSCS,44,1st_year,17,2019,CS,1,9.0,17.333333333333332,8.504900548115382,0.8888888888888888,2019,3,-0.5120879120879123,0.3863636363627582,1.2246467991473532e-16,-1.0,1.4209130596919195,17.0
2019-2020,1st,BSCS,44,2nd_year,20,2019,CS,1,11.0,13.0,6.244997998398398,0.8181818181818181,2019,3,-0.1142857142857144,0.45454545454442147,1.2246467991473532e-16,-1.0,10.259524392309196,20.0
2019-2020,1st,BSCS,44,3rd_year,5,2019,CS,1,5.0,7.333333333333333,4.041451884327381,0.0,2019,3,0.9142857142857144,0.11363636363610537,1.2246467991473532e-16,-1.0,0.0,
2019-2020,1st,BSCS,44,4th_year,2,2019,CS,1,16.0,7.333333333333333,7.571877794400365,-0.875,2019,3,2.050549450549451,0.04545454545444215,1.2246467991473532e-16,-1.0,0.0,
2019-2020,1st,BSIT,371,1st_year,150,2019,IT,1,75.0,148.0,72.02083032012335,1.0,2019,3,-7.7120879120879176,0.4043126684635029,1.2246467991473532e-16,-1.0,13.412399938403894,150.0
2019-2020,1st,BSIT,371,2nd_year,47,2019,IT,1,98.0,77.66666666666667,27.02468007827907,-0.5204081632653061,2019,3,-3.461538461538462,0.12668463611856423,1.2246467991473532e-16,-1.0,-53.324895982591585,47.0
2019-2020,1st,BSIT,371,3rd_year,78,2019,IT,1,102.0,77.66666666666667,24.5017006212494,-0.23529411764705888,2019,3,-2.167032967032967,0.2102425876010215,1.2246467991473532e-16,-1.0,0.0,
2019-2020,1st,BSIT,371,4th_year,96,2019,IT,1,78.0,86.33333333333333,9.073771725877469,0.23076923076923084,2019,3,-2.5340659340659353,0.2587601078166418,1.2246467991473532e-16,-1.0,0.0,
2019-2020,2nd,BSBA-FINANCIAL_MANAGEMENT,274,1st_year,53,2019,BA,2,94.0,67.0,23.388031127052994,-0.43617021276595747,4038,4,-6.303296703296706,0.0996240601503572,-2.4492935982947064e-16,1.0,0.0,
2019-2020,2nd,BSBA-FINANCIAL_MANAGEMENT,274,2nd_year,14,2019,BA,2,43.0,49.333333333333336,38.88873015840622,-0.6744186046511628,4038,4,-3.0791208791208793,0.02631578947367926,-2.4492935982947064e-16,1.0,0.0,
2019-2020,2nd,BSBA-FINANCIAL_MANAGEMENT,274,3rd_year,136,2019,BA,2,65.0,81.33333333333333,48.60384072615387,1.0,4038,4,-3.773626373626375,0.2556390977443128,-2.4492935982947064e-16,1.0,0.0,
